,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
14,128174328,cookie cutter and stamp set,"A fun cookie cutter and stamp set so cute, they'll be tempted to save their creations instead of eat them. This hilarious set includes cookie cutters in the shape of a heart, pi symbol, poop emoji, and a regular cookie stamp, plus it includes Rosanna Pansino's delicious vanilla almond sugar cookie recipe.",in stock,new,8.39 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128174328,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/13/14/asset/184616d5f766/sub-buzz-4244-1605279320-8.png?resize=625:*,Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion"
15,128174332,squirrel-shaped paddle spoon,A squirrel-shaped paddle spoon that actually makes turning and serving rice fun. Your friend will thank you as they proudly perch this beauty atop their kitchen counter.,in stock,new,8.49 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128174332,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/13/15/asset/c3b1ebfb16c2/sub-buzz-4286-1605280790-26.png?resize=625:643,Amazon,chantelturner/gifts-make-cooking-fun,USD,cleaning
16,128174327,bear hand oven mitts,A ferociously funny pair of bear hand oven mitts which requires a minimum of five bear puns per use.,in stock,new,14.4 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128174327,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/13/14/asset/dc2ffa0996cc/sub-buzz-4243-1605278824-14.png?resize=625:*,Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion"
17,128183750,divided skillet with three sections,A divided skillet with three sections so they can cook their main dish and two sides at the same time. They'll save time by cooking everything on the same pan and reduce the number of cookware you have to wash. TL;DR: They'll get a tasty meal with the convenience of a TV dinner.,in stock,new,23.99 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128183750,https://img.buzzfeed.com/buzzfeed-static/static/2021-01/21/22/asset/ca4c9b037fba/sub-buzz-21979-1611268928-3.jpg?resize=625:833,Amazon,chantelturner/gifts-make-cooking-fun,USD,cleaning
18,128174331,olive oil and vinegar dispenser,An olive oil and vinegar dispenser for lovers of birds and elegant design. This sleek bottle prevents the oxidation of oil and vinegar so it remains fresh and tasty.,in stock,new,12.99 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128174331,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/13/15/asset/cc05cf3f807d/sub-buzz-4319-1605280139-1.png?resize=625:*,Amazon,chantelturner/gifts-make-cooking-fun,USD,cleaning
19,128174330,Mitten tongs,"Mitten tongs that will turn them into a lean mean ice-picking and meat-flipping machine. I mean seriously, they won't be able to resist picking up even the most random things with these delightful mitten tongs.",in stock,new,10.0 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128174330,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/13/14/asset/cc05cf3f807d/sub-buzz-4293-1605279201-9.png?resize=625:*,Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion"
20,128183754,three-in-one avocado slicer,A three-in-one avocado slicer for effortlessly slicing avo' and removing the pit. The no slip grip and stainless steel blades ensure they get seven pieces of deliciousness without any of the hassle.,in stock,new,9.96 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128183754,"https://img.buzzfeed.com/buzzfeed-static/static/2021-01/21/23/asset/9e2b6c32d7df/sub-buzz-21936-1611273009-7.jpg?crop=1224:1000;0,518&resize=625:*",Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion,skincare"
21,128174333,mini pop cake maker,A mini pop cake maker for the person with a super sweet tooth who's about to go broke from buying a dozen a day at Starbucks. This compact cutie can bake up to nine cake pops in under five minutes so it basically pays for itself in one use.,in stock,new,18.0 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128174333,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/13/15/asset/c31d2a2c1a8b/sub-buzz-4332-1605280492-31.png?resize=625:*,Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion"
22,128183697,spiralizer,"A spiralizer with cutlery-grade stainless-steel blades able to turn a crunchy carrot into pasta in lightning speed. If they're looking for an easy way to incorporate veggies into their fave meals, then this spiral slicer is a must.",in stock,new,25.97 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128183697,https://img.buzzfeed.com/buzzfeed-static/static/2021-01/21/22/asset/700d87ee8ade/anigif_sub-buzz-21872-1611268442-1.gif,Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion"
23,128183702,mini waffle maker,"A mini waffle maker that they can use from dusk 'til dawn because not only does it make waffles, but it also makes hash browns and paninis. That means instant no-stress and no-mess breakfast, lunch, and dinner. **adds to cart**",in stock,new,17.99 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128183702,https://img.buzzfeed.com/buzzfeed-static/static/2021-01/21/23/asset/d40f0494ab2a/sub-buzz-21930-1611270494-10.jpg?resize=625:833,Amazon,chantelturner/gifts-make-cooking-fun,USD,cleaning
25,128183721,frozen yogurt machine,A frozen yogurt machine which makes the perfect after dinner desert in under 20 minutes with no ice needed. They can just drop in their ingredients of choice (perfect for picky eaters or those with food allergies) and voilà — an instant bowl of deliciousness.,in stock,new,59.0 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128183721,https://img.buzzfeed.com/buzzfeed-static/static/2021-01/21/23/asset/dc52bbdabbcd/sub-buzz-21914-1611272320-29.jpg?resize=625:625,Amazon,chantelturner/gifts-make-cooking-fun,USD,"cleaning,fast fashion,skincare"
27,128183742,nonstick silicone donut molds,"Two nonstick silicone donut molds that will make your friends forget all about Dunkin' Donuts or Krispy Kreme — they can add absolutely any ingredient or topping to these adorable trays for a perfect dessert. These are oven safe, dishwasher safe, and microwave safe.",in stock,new,8.99 USD,https://www.buzzfeed.com/chantelturner/gifts-make-cooking-fun?origin=web-hf#128183742,https://img.buzzfeed.com/buzzfeed-static/static/2021-10/20/15/asset/2389c4115890/sub-buzz-666-1634745153-54.png?resize=625:326,Amazon,chantelturner/gifts-make-cooking-fun,USD,cleaning
